Depth,Year,Site,Frequency
10,2019,Harrison Cove,31.44200627
20,2019,Harrison Cove,24.45141066
30,2019,Harrison Cove,11.15987461
40,2019,Harrison Cove,6.457680251
50,2019,Harrison Cove,7.962382445
60,2019,Harrison Cove,5.736677116
70,2019,Harrison Cove,4.012539185
80,2019,Harrison Cove,4.294670846
90,2019,Harrison Cove,2.695924765
100,2019,Harrison Cove,1.786833856
10,2019,Moraine,39.10108912
20,2019,Moraine,31.3084829
30,2019,Moraine,11.96502531
40,2019,Moraine,7.884644884
50,2019,Moraine,3.482129161
60,2019,Moraine,2.377665286
70,2019,Moraine,1.779414021
80,2019,Moraine,1.39591962
90,2019,Moraine,0.506212609
100,2019,Moraine,0.199417089
